Food,Bi_category,Tag,Unit,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,GI,GI_level
Apple juice canned,Fruit_2,1,1 cup,250,125.0,0,0,0,0,34,44.0,low
"Apples, raw",Fruit_1,1,1 med.,130,70.0,0,0,0,1,18,36.0,low
Apricots,Fruit_1,1,1 cup,250,220.0,2,0,0,1,57,58.0,mid
Avocado,Fruit_1,1,1/2 unit,108,185.0,2,18,12,1.8,6,40.0,low
Banana,Fruit_1,1,1 med.,150,85.0,1,0,0,0.9,23,52.0,low
Blackberries,Fruit_1,1,1 cup,250,147.57,3.47,1.74,0,11.46,32.99,25.0,low
Blueberries,Fruit_1,1,1 cup,250,245.0,1,0,0,2,65,53.0,low
Cantaloupe,Fruit_1,1,1/4 unit,200,21.05,0.53,0,0,1.16,4.74,70.0,high
Cherries,Fruit_1,1,1 cup,250,97.28,1.95,0.97,0,1.95,25.29,22.0,low
Dates,Fruit_1,1,1 cup,250,709.27,5.62,0,0,5.06,188.2,42.0,low
Figs,Fruit_1,1,2,42,120.0,2,0,0,1.9,30,,low
"Grapefruit, fresh, 5"" diameter",Fruit_1,1,1 cup,250,43.86,0.88,0,0,0.88,12.28,,low
Grapefruit juice,Fruit_2,1,1 cup,250,100.0,1,0,0,1,24,,low
Grapes,Fruit_1,1,1 cup,250,114.38,1.63,0,0,1.31,26.14,46.0,low
Grape juice,Fruit_2,1,1 cup,250,160.0,1,0,0,0,42,63.0,mid
Lemon juice,Fruit_2,1,1/2 cup,125,30.0,0,0,0,0,10,,low
Olives large,Fruit_1,1,5,33,36.0,0.5,5,4.5,0.4,1.5,,low
Orange juice,Fruit_2,1,1 cup,250,112.0,2,0,0,0.2,25,50.0,low
Papaya,Fruit_1,1,1/2 unit,200,75.0,1,0,0,1.8,18,56.0,mid
Peaches,Fruit_1,1,1 cup,250,194.55,0.97,0,0,0.97,50.58,28.0,low
Pears,Fruit_1,1,1 cup,250,191.18,0.98,0,0,1.96,49.02,36.0,low
Persimmons,Fruit_1,1,1 med.,125,75.0,1,0,0,2,20,50.0,low
Pineapple,Fruit_1,1,1 slice,122,95.0,0,0,0,0.4,26,59.0,mid
Pineapple juice,Fruit_2,1,1 cup,250,120.0,1,0,0,0.2,32,,mid
Plums,Fruit_1,1,1 cup,250,180.66,0.98,0,0,0.68,48.83,24.0,low
Prunes,Fruit_1,1,1 cup,250,277.78,2.78,0.93,0,0.74,75,39.0,low
Prune juice,Fruit_2,1,1 cup,250,177.08,1.04,0,0,0.73,46.88,43.0,low
Raspberries,Fruit_1,1,1 cup,250,250.0,0,0,0,5,62.5,,low
Strawberries,Fruit_1,1,1 cup,250,266.52,1.1,0,0,1.43,66.08,40.0,low
Tangerines,Fruit_1,1,1 med.,114,40.0,1,0,0,1,10,43.0,low
Watermelon,Fruit_1,1,1/4 wedge,250,32.43,0.54,0.27,0,0.97,7.84,72.0,high
Tomato juice,Fruit_2,1,1 cup,250,52.08,2.08,0,0,0.63,10.42,38.0,low
Rye bread,Staple_food,0,1 slice,23,55.0,2,1,1,0.1,12,34.0,low
White bread,Staple_food,0,1 slice,23,62.06,1.98,0.76,0.61,0.46,11.6,42.0,low
Whole-wheat bread,Staple_food,0,1 slice,23,55.0,2,1,0,0.31,11,69.0,mid
Cornflakes,Staple_food,0,150g,150,660.0,12,0,0,0.6,150,81.0,high
Corn grits cooked,Staple_food,0,150g,150,74.2,4.96,0,0,0.13,16.73,52.0,low
Macaroni,Staple_food,0,150g,150,166.07,5.36,1.07,0,0.11,34.28,50.0,low
Noodles,Staple_food,0,150g,150,187.5,6.56,1.88,1.88,0.1,34.69,62.0,mid
Oatmeal,Staple_food,0,150g,150,95.34,3.18,1.91,1.27,2.92,16.52,57.0,mid
"Pancakes 4"" diam.",Staple_food,0,4,108,250.0,7,9,0,0.1,28,66.0,mid
"Pizza 14"" diam.",Staple_food,0,1 section,75,180.0,8,6,5,0,23,80.0,high
Rice,Staple_food,0,150g,150,539.42,10.82,2.17,0,0.86,111.06,78.0,high
Rolls,Staple_food,0,1,50,411.0,3,12,11,0.1,23,62.0,mid
Waffles,Staple_food,0,1,75,240.0,8,9,1,0.1,30,77.0,high
Wheat-germ cereal toasted,Staple_food,0,150g,150,600.0,46.16,16.16,6.92,5.78,83.08,69.0,mid
"Wheat, cooked",Staple_food,0,150g,150,206.25,9,0.75,0,3.3,26.25,63.0,mid
Almonds,Nuts,1,50g,50,303.57,9.29,27.14,20,1.29,9.29,,low
Brazil nuts,Nuts,1,50g,50,326.43,7.14,33.57,22.14,1.43,5,,low
Cashews,Nuts,1,50g,50,280.0,8.57,22.86,20,0.64,14.29,17.86,low
Peanuts,Nuts,1,50g,50,290.0,13,25,16,1.2,9,14.0,low
Pecans,Nuts,1,50g,50,329.81,4.81,33.65,24.04,1.06,6.73,14.0,low
Sesame seeds,Nuts,1,50g,50,280.0,9,24,13,3.1,10,35.0,low
Sunflower seeds,Nuts,1,50g,50,280.0,12,26,7,1.9,10,,low
Walnuts,Nuts,1,50g,50,325.0,7,32,7,1,8,20.0,low
Beer,Drinks,1,1 cup,250,118.75,0,0,0,0,4.17,66.0,mid
Wines,Drinks,1,1/2 cup,125,170.83,0,0,0,0,9.38,15.0,low
Club soda,Drinks,1,12 oz.,346,0.0,0,0,0,0,0,,low
Coffee,Drinks,1,1 cup,250,3.26,0,0,0,0,1.09,,low
Tea,Drinks,1,1 cup,250,4.35,0,0,0,0,1.09,,low
